01,nsc-health-sciences-building,Health Sciences Building,North Seattle College,"9600 College Way N, Seattle, WA 98103",2014,"46,500","education, renovation"
02,pc-maier-hall,Maier Hall,Peninsula College,"1502 E Lauridsen Blvd, Port Angeles, WA 98362",2011,"65,000","education, new-building"
03,nsc-opportunity-center,Opportunity Center,North Seattle College,"9600 College Way N, Seattle, WA 98103",2011,"45,000","education, renovation"
04,pc-library-media-center,Library Media Center,Peninsula College,"1502 E Lauridsen Blvd, Port Angeles, WA 98362",2008,"27,500","education, new-building"
05,oc-college-instruction-center,College Instruction Center,Olympic College,"1600 Chester Ave, Bremerton, WA 98337",2017,"75,000","education, new-building"
06,sea-fire-station-30,Fire Station 30,City of Seattle,"2931 S Mt Baker Blvd, Seattle, WA 98144",2010,"9,100","civic, new-building"
07,scc-culinary-academy,Culinary Academy,Seattle Central College,"1701 Broadway, Seattle, WA 98122",2010,"60,000","education, renovation"
08,sea-fire-station-20,Fire Station 20,City of Seattle,"1460 W Armour St, Seattle, WA 98119",2013,"9,400","civic, new-building"
09,sb-museum-of-natural-history,Museum of Natural History,"Santa Barbara, CA","2559 Puesta Del Sol, Santa Barbara, CA 93105",2017,"124,000","cultural, renovation, planning"
10,ecc-science-engineering-technology-building,"Science Building",Edmonds Community College,"20000 68th Ave W, Lynnwood, WA 98036",2016,"69,950","education, new-building"
11,pc-allied-health-center,Allied Health Center,Peninsula College,"1502 E Lauridsen Blvd, Port Angeles, WA 98362",2017,"40,000","education, new-building"
12,scc-creative-academy,Creative Academy,Seattle Central College,"1701 Broadway, Seattle, WA 98122",2008,"35,000","education, renovation"
13,uw-mary-gates-hall-1st-floor,Mary Gates Hall 1st Floor ,University of Washington,"3785 Benton Ln, Seattle, WA 98105",2011,"22,500","education, tenant-improvement"
14,kcls-auburn-library,Auburn Library,King County Library System,"1102 Auburn Way S, Auburn, WA 98002",2012,"20,000","civic, renovation"
15,tcc-campus-commons,Campus Commons,Tacoma Community College,"6501 S 19th St, Tacoma, WA 98466",2012,n/a,"education, planning"
16,uw-gowen-hall,Gowen Hall,University of Washington,"322 Gowen Hall, Seattle, WA 98195",2012,n/a,"education, tenant-improvement"
17,pc-new-entry,New Entry,Peninsula College,"1502 E Lauridsen Blvd, Port Angeles, WA 98362",2010,n/a,"education, planning"
18,oc-student-parking-lot,Student Parking Lot,Olympic College,"1600 Chester Ave, Bremerton, WA 98337",2009,n/a,"education, planning"
19,scc-campus-master-plan,Campus Master Plan,Shoreline Community College,"16101 Greenwood Ave N, Shoreline, WA 98133",2008,n/a,"education, planning"
20,pc-art-water-feature,Art & Water Feature,Peninsula College,"1502 E Lauridsen Blvd, Port Angeles, WA 98362",2007,n/a,education
21,oc-bremerton-campus-master-plan,Bremerton Campus Master Plan,Olympic College,"1600 Chester Ave, Bremerton, WA 98337",2006,n/a,"education, planning"
22,oc-shelton-and-poulsbo-master-plans,Shelton and Poulsbo Master Plans,Olympic College,"1600 Chester Ave, Bremerton, WA 98337",2006,n/a,"education, planning"
23,nsc-long-range-development-plan,Long-Range Development Plan,North Seattle College,"9600 College Way N, Seattle, WA 98103",2005,n/a,"education, planning"
24,tbh-temple-beth-hatfiloh,Temple Beth Hatfiloh,Temple Beth Hatfiloh,"201 8th Ave SE, Olympia, WA 98501",2001,n/a,"spiritual, renovation"
25,tba-khilah-center,K'hilah Center,Temple Beth Am,"2632 NW 80th St, Seattle, WA 98115",2007,"40,000","spiritual, renovation"
26,wsu-thompson-hall,Thompson Hall,Washington State University,"605 Veterans Way, Pullman, WA 99163",2000,"40,000","education,  renovation"
27,uw-parrington-hall,Parrington Hall,University of Washington,"401 George Washington Ln NE, Seattle, WA 98105",1996,"40,000","education,  renovation"
28,scc-student-enrollment-services,Student Enrollment Services,Seattle Central College,"1701 Broadway, Seattle, WA 98122",2005,"37,000","education,  renovation"
29,kcls-fairwood-library,Fairwood Library,King County Library System,"17009 140th Ave SE, Renton, WA 98058",2013,"20,000","civic, renovation"
30,tcc-counseling-advising-services,Counseling & Advising Services,Tacoma Community College,"6501 S 19th St, Tacoma, WA 98466",2007,"19,000","education,  renovation"
31,tbt-temple-bnai-torah,Temple B'Nai Torah,Temple B'Nai Torah,"15727 NE 4th St, Bellevue, WA 98008",1998,"18,500","spiritual, renovation"
32,spl-douglass-truth-branch,Douglass-Truth Branch,The Seattle Public Library,"2300 E Yesler Way, Seattle, WA 98122",2006,"16,500","civic, renovation"
33,ecc-master-plan,Master Plan,Edmonds Community College,"20000 68th Ave W, Lynnwood, WA 98036",2014,n/a,"education, planning"
34,tcc-classroom-administration-building,Classroom Administration Building,Tacoma Community College,"6501 S 19th St, Tacoma, WA 98466",2004,"16,500","education, new-building"
35,pc-building-202,Fort Worden Building 202,Peninsula College,"1502 E Lauridsen Blvd, Port Angeles, WA 98362",2014,"14,000","education,  renovation"
36,svc-master-plan,Master Plan,Skagit Valley College,"2405 E College Way, Mt. Vernon, WA 98273",2013,n/a,"education, planning"
37,btc-college-services-building,College Services Building,Bellingham Technical College,"3028 Lindbergh Ave, Bellingham, WA 98225",1995,"13,000","education,  renovation"
38,squax-museum-library,Museum & Library,Squaxin Island Tribe,"Kwuh-Deegs-Altxw, Shelton, WA 98584",2002,"12,412","cultural, renovation"
39,lcc-master-plan,Master Plan,Lower Columbia College,"1600 Maple Street, Longview, WA 98632",2014,n/a,"education, planning"
40,scl-technical-training-facility,Technical Training Facility,Seattle City Light,"9600 W Marginal Way S, Seattle, WA 98108",2015,"12,335","civic, new-building"
41,pse-lake-tapps-conference-center,Lake Tapps Conference Center,Puget Sound Energy,"18526 Driftwood Drive E, Lake Tapps, WA 98391",n/a,"9,970","civic, new-building"
42,ssc-auto-tech-building,Auto Tech Building,South Seattle College,"6000 16th Ave SW, Seattle, WA 98106",2007,"9,000","education, renovation"
43,nsc-student-services,Student Services,North Seattle College,"9600 College Way N, Seattle, WA 98103",1992,"8,000","education, renovation"
44,pse-wild-horse-wind-farm-visitor-center,Wild Horse Wind Farm Visitor Center,Puget Sound Energy,"25901 Vantage Hwy, Vantage, WA 98926",n/a,"7,566","civic, new-building"
45,pc-administration-building,Administration Building,Peninsula College,"1502 E Lauridsen Blvd, Port Angeles, WA 98362",2008,"7,500","education, new-building"
46,ssc-landscape-horticulture-building,Landscape Horticulture Building,South Seattle College,"6000 16th Ave SW, Seattle, WA 98106",2004,"7,040","education, new-building"
